Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,22pF,
"C3, C4",0603,2,1uF,
D1,0603,1,LED 2V 20mA,
J1,USB_A_CNCTech_1001-011-01101_Horizontal,1,USB_A,
J2,PinHeader_2x03_P2.54mm_Horizontal,1,AVR-ISP-6,
J4,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08_Socket,
J5,PinHeader_1x01_P2.54mm_Horizontal,1,Conn_01x01_Pin,
R1,0603,1,10k,
"R2, R3",0603,2,22,
R4,0603,1,150,
"R5, R6, R7, R8, R9",0603,5,1k,
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,SW_Push,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega16U2-A,
Y1,Crystal_HC49-4H_Vertical,1,16MHz,
